NAME,STR_NAME,HSNR,HSNR_ZUS,PLZ,ORT,RECHTSWERT,HOCHWERT,HOMEPAGE
Museum Haus Rüschhaus,Am Rüschhaus,81,,48161,Münster,400507,5760424,http://www.burg-huelshoff.de/
Gallitzinhaus,Angelmodder Weg,97,,48167,Münster,410678,5753272,http://www.heimatfreunde-angelmodde.de/
Kunsthaus Kannen,Alexianerweg,9,,48163,Münster,401240,5748261,https://www.kunsthaus-kannen.de/ausstellungen/
Karnevalsmuseum,Heumannsweg,127,,48155,Münster,408563,5755673,https://www.paohlbuerger.de/
LWL-Museum für Kunst und Kultur,Domplatz,10,,48143,Münster,405509,5757706,https://www.lwl.org/LWL/Kultur/museumkunstkultur/
Archäologisches Museum,Domplatz,20,,48143,Münster,405446,5757716,https://www.uni-muenster.de/ArchaeologischesMuseum/
Porzellanmuseum,Gasselstiege,33,,48159,Münster,404474,5758952,http://www.stadtheimatbund-muenster.de/
Eisenbahnmuseum der KG Pängelanton,Erbdrostenweg,2,,48167,Münster,408277,5754228,http://www.paengelanton.de
Kunsthalle Münster,Hafenweg,28,,48155,Münster,406825,5756567,https://www.stadt-muenster.de/kunsthalle/ausstellungen.html
Villa ten Hompel,Kaiser-Wilhelm-Ring,28,a,48145,Münster,407018,5758147,https://www.stadt-muenster.de/villa-ten-hompel/startseite.html
Wewerka Pavillion,Kardinal-von-Galen-Ring,0,,48149,Münster,404117,5756704,http://www.wewerka-pavillon.de
Lepramuseum,Kinderhaus,15,,48159,Münster,404673,5761943,https://www.lepramuseum.de/
Heimatmuseum Kinderhaus,Kinderhaus,15,,48159,Münster,404696,5761950,https://www.heimatmuseum-kinderhaus.de/
Torhaus,Neutor,2,,48143,Münster,404904,5758287,http://www.stadtheimatbund-muenster.de/
Domkammer,Horsteberg,7,,48143,Münster,405592,5757870,https://www.paulusdom.de/kunst/domkammer/
Bibelmuseum,Pferdegasse,1,,48143,Münster,405424,5757627,https://www.uni-muenster.de/Bibelmuseum/
Geomuseum,Pferdegasse,3,,48143,Münster,405401,5757652,https://www.uni-muenster.de/Geomuseum/
Friedenssaal,Prinzipalmarkt,10,,48143,Münster,405740,5757657,https://www.stadt-muenster.de/tourismus/kunst-und-kultur/museen/friedenssaal.html
LWL-Museum für Naturkunde,Sentruper Straße,285,,48161,Münster,403183,5756346,https://www.lwl-naturkundemuseum-muenster.de/de/
Planetarium,Sentruper Straße,285,,48161,Münster,403180,5756360,https://www.lwl-naturkundemuseum-muenster.de/de/planetarium/
Westfälisches Pferdemuseum,Sentruper Straße,311,,48161,Münster,402922,5756168,https://www.pferdemuseum.de/
Orgelmuseum Fleiter,Sessendrupweg,56,,48161,Münster,400582,5762148,https://www.orgelbau-fleiter.de/
Stadtmuseum,Salzstraße,28,,48143,Münster,406076,5757546,https://www.stadt-muenster.de/museum/aktuelles.html
Mühlenhof-Freilichtmuseum,Theo-Breider-Weg,1,,48149,Münster,403643,5756388,https://www.muehlenhof-muenster.org/
Bienenmuseum im Mühlenhof,Theo-Breider-Weg,1,,48149,Münster,403743,5756354,http://www.imkerverein-muenster.de/
Kunstmuseum Pablo Picasso,Picassoplatz,1,,48143,Münster,405615,5757505,https://www.kunstmuseum-picasso-muenster.de/home/
Museum für Lackkunst,Windthorststraße,26,,48143,Münster,405948,5757228,http://www.museum-fuer-lackkunst.de/
Hiltruper Museum,Zur Alten Feuerwache,26,,48165,Münster,406368,5751349,http://www.hiltruper-museum.de/
