LFDNR,NAME,BARRIEREFREI,MONTAG,DIENSTAG,MITTWOCH,DONNERSTAG,FREITAG,SAMSTAG,SONNTAG,RECHTSWERT,HOCHWERT,GV_NAME
2,Aegidiimarkt,N,07:00 - 24:00,07:00 - 24:00,07:00 - 24:00,07:00 - 24:00,07:00 - 24:00,07:00 - 24:00,09:00 - 24:00,405403,5757490,X
1,Aasee / Hansahafen,J,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,403655,5755666,X
5,Domplatz,N,,,05:00 - 16:00,,,05:00 - 16:00,,405597,5757725,X
11,Schlossplatz,J,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,404959,5758053,X
16,Stadthaus 1 / innen,J,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,,405838,5757652,X
81,Der gute Bäcker Krimphove,J,06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00,,,406178,5757376,NET_TOI
66,Pauls Cafe und mehr,J,9:00 - 18:30,9:00 - 18:30,9:00 - 18:30,9:00 - 18:30,9:00 - 18:30,-,14:00 - 18:00,406293,5751148,NET_TOI
70,Trattoria Mediterranea da Roberto,N,17:00 - 22:30,17:00 - 22:30,-,17:00 - 22:30,17:00 - 22:30,17:00 - 22:30,12:00 - 14:30,406447,5751480,NET_TOI
71,Eiscafe Martini,N,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,406664,5751250,NET_TOI
73,SuperBioMarkt,N,8:00 - 19:00,8:00 - 19:00,8:00 - 19:00,8:00 - 19:00,8:00 - 19:00,8:00 - 14:00,-,406786,5751235,NET_TOI
78,Bremer Platz (Hocktoilette),N,0:00 - 24:00,0:00 - 24:00,0:00 - 24:00,0:00 - 24:00,0:00 - 24:00,0:00 - 24:00,0:00 - 24:00,406416,5757155,X
82,LWL-Museum für Kunst und Kultur,J,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,405479,5757662,NET_TOI
83,SuperBioMarkt,J,08:00-20:00,08:00-20:00,07:30-20:00,08:00-20:00,08:00-20:00,07:30-20:00,,405324,5755837,NET_TOI
84,Spooky's,,17:0000:00,17:0001:00,17:0001:00,17:0001:00,17:0003:00,17:0003:00,17:0000:00,405461,5756368,NET_TOI
86,Fyal Central,,10:0023:00,10:0023:00,10:0023:00,10:0023:00,10:0000:00,10:0000:00,12:0018:00,405582,5757638,NET_TOI
63,E-Center Meesenstiege,N,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,-,405354,5751118,NET_TOI
65,Henriks Restaurant & Kneipe,N,-,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,"12:00 - 14:00, 17:00 - 22:00",406141,5751372,NET_TOI
68,Bezirksverwaltung Hiltrup,J,"8:00 - 12:00, 14:00 - 18:00",8:00 - 12:00,8:00 - 12:00,"8:00 - 12:00, 14:00 - 18:00",8:00 - 12:00,-,-,406307,5751321,NET_TOI
69,Metzgerei Philipp Büning,J,9:00 - 18:00,9:00 - 18:00,9:00 - 18:00,9:00 - 18:00,9:00 - 18:00,9:00 - 14:00,-,406483,5751192,NET_TOI
72,Der gute Bäcker Krimphove,J,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 17:00,8:00 - 17:00,406804,5751276,NET_TOI
75,Der gute Bäcker Krimphove,N,6:30 - 18:00,6:30 - 18:00,6:30 - 18:00,6:30 - 18:00,6:30 - 18:00,6:30 - 13:00,7:30 - 16:30,408283,5751396,NET_TOI
79,Der gute Bäcker Krimphove,J,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,-,405730,5757416,NET_TOI
80,Der Bunte Vogel,,15:00-01:00,15:00-01:00,15:00-01:00,15:00-03:00,15:00-03:00,,,406012,5757646,NET_TOI
85,Mövenpick Hotel Münster,,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,404163,5756984,NET_TOI
64,Begegnungszentrum 37 Grad,J,15:00 - 19:00,15:00 - 19:00,15:00 - 19:00,15:00 - 19:00,15:00 - 19:00,-,15:00 - 18:00,405512,5751082,NET_TOI
74,Das andere Restaurant,N,"11:00 - 14:30, 17:00 - 21:00","11:00 - 14:30, 17:00 - 21:00","11:00 - 14:30, 17:00 - 21:00","11:00 - 14:30, 17:00 - 21:00","11:00 - 14:30, 17:00 - 21:00","11:00 - 14:30, 17:00 - 21:00","11:00 - 14:30, 17:00 - 21:00",408121,5751389,NET_TOI
76,Emmerbachtreff,N,,,,,,,,408792,5751227,NET_TOI
77,Onkel Alex,J,10.00 - 18:00,10.00 - 18:00,10.00 - 18:00,10.00 - 18:00,10.00 - 18:00,-,-,406751,5751275,NET_TOI
