NAME,RECHTSWERT,HOCHWERT,HOMEPAGE
Friedhof Kinderhaus,404622,5761836,http://www.st-marien-und-st-josef.de/orte-des-gemeindelebens/friedhof-kinderhaus/
Friedhof Gelmer,409415,5765222,https://www.st-petronilla.de/
Friedhof Albachten,398583,5753566,https://www.stadt-muenster.de/umwelt/friedhoefe/friedhof-albachten.html
Friedhof Angelmodde - Am Hohen Ufer,410107,5754227,https://www.stadt-muenster.de/umwelt/friedhoefe/friedhof-angelmodde-am-hohen-ufer.html
Friedhof Nienberge,401399,5761778,https://www.liebfrauen-muenster.de/
Friedhof Mauritz,407691,5757489,https://www.sankt-mauritz.com/themen/sakramente/beerdigung-trauerpastoral/mauritz-friedhof
Friedhof Handorf,410811,5760423,https://www.st-petronilla.de/
Friedhof Hohe Ward,408274,5750261,https://www.stadt-muenster.de/umwelt/friedhoefe/friedhof-hohe-ward.html
Neuer Jüdischer Friedhof,408052,5750362,http://www.jgms.de/
Friedhof Sprakel,405542,5765752,http://www.st-marien-und-st-josef.de/orte-des-gemeindelebens/friedhof-sprakel/
Ehemaliger Friedhof Albachten,398318,5753752,https://www.kirche-mswest.de/friedhof-in-albachten/
Zentralfriedhof,404417,5757300,https://www.zentralfriedhof-muenster.de/
Friedhof Amelsbüren,404294,5748706,https://www.sankt-clemens-hiltrup.de/kirchen-einrichtungen/friedhoefe/
Friedhof Mecklenbeck,401812,5755207,https://www.kirche-mswest.de/friedhof-in-mecklenbeck/
Friedhof Roxel,399007,5756848,https://www.kirche-mswest.de/friedhof-in-roxel/
Friedhof Hiltrup,406339,5751409,https://www.sankt-clemens-hiltrup.de/kirchen-einrichtungen/friedhoefe/
Friedhof Angelmodde - Homannstraße,410049,5753246,https://www.stadt-muenster.de/umwelt/friedhoefe/friedhof-angelmodde-homannstrasse.html
Friedhof Nienberge,401452,5761847,https://www.stadt-muenster.de/umwelt/friedhoefe/friedhof-nienberge.html
Friedhof Angelmodde,410494,5753285,https://st-nikolaus-muenster.de/
Waldfriedhof Lauheide,414403,5761949,https://www.stadt-muenster.de/umwelt/friedhoefe/waldfriedhof-lauheide.html
Friedhof Wolbeck,412182,5752947,https://www.stadt-muenster.de/umwelt/friedhoefe/friedhof-wolbeck.html
"Zentralfriedhof, Verwaltung",404382,5757453,https://www.zentralfriedhof-muenster.de/
"Zentralfriedhof, Kapelle",404400,5757476,
"Zentralfriedhof, Leichenhalle",404419,5757491,
